V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Schizothrix LEGE 07164	0	1	1	1	1	0	0	1	0	0	1	0	1	1	0	2	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	1	0	0	1	2	0	0	2	1	1	0	0	0	0	1	1	0	1	2	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	1	2	1	1	1	1	0	0	2	0	0	0	0	1	0	1	1	0	1	0	1	0	3	0
Sediminibacterium	68	69	80	89	71	66	72	73	78	81	82	62	87	72	83	65	62	76	71	78	80	78	77	79	84	75	67	85	73	83	80	81	77	60	71	70	83	68	77	80	59	76	82	81	77	80	88	92	80	83	70	81	73	77	75	68	82	83	84	82	83	99	75	72	83	76	79	80	76	94	67	68	85	74	75	63	71	92	76	83	80	89	85	93	73	92	70	89	95	71	70	92	68	78	66	71	72	80	76	80
Selenomonas	0	0	1	1	0	1	0	0	2	0	1	1	0	1	0	2	0	2	0	0	0	2	1	1	0	0	0	1	0	0	1	1	0	2	0	1	0	2	1	0	0	0	1	0	0	0	1	0	1	0	3	2	0	0	1	0	2	0	1	1	2	1	0	0	1	1	1	0	0	1	2	0	0	0	1	0	3	0	0	1	0	0	1	0	0	0	0	1	0	0	0	2	0	1	1	0	3	1	0	2
Serratia	8	5	9	7	12	6	7	7	4	11	3	10	10	14	5	10	10	9	7	8	8	7	8	8	12	10	7	7	10	8	8	2	8	8	8	9	12	4	8	11	9	9	11	10	13	11	9	11	5	13	8	8	8	10	14	11	6	15	5	6	4	13	9	5	9	10	7	5	10	7	9	7	3	7	11	9	6	6	6	9	7	12	4	9	14	11	9	6	5	2	8	9	11	11	11	5	8	6	8	13
Sh765B-TzT-35	1	1	0	2	0	0	0	0	1	0	1	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	2	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	2	1	0	1	1	0	1	0	0	0	0	2	2	0	0	0	0	1	0	0	1	0	0	2	0	2	0	1	0	1	1	0
Shinella	3	2	2	1	1	2	3	2	1	3	2	0	2	0	2	0	2	6	0	1	0	4	2	0	3	0	1	2	2	1	2	4	4	2	4	1	5	2	5	3	3	1	0	0	2	2	2	1	3	1	1	4	5	3	1	1	4	3	5	4	2	1	2	2	2	1	3	2	4	1	1	4	3	3	1	4	2	2	3	2	0	2	4	4	0	2	4	3	3	2	2	1	0	1	5	1	1	0	2	1
Sideroxydans	3	7	6	11	6	3	10	2	5	7	3	5	5	6	2	9	9	10	3	11	7	5	7	7	9	4	5	7	5	3	8	8	5	3	4	8	4	6	3	8	7	7	6	5	7	3	7	5	5	3	4	6	5	4	2	7	8	4	12	3	7	4	7	6	5	2	7	3	8	6	3	4	4	11	4	4	3	8	6	4	2	5	2	9	8	3	8	3	5	4	4	4	6	11	4	11	7	8	6	7
Silanimonas	1	4	2	1	2	4	0	2	0	0	3	0	3	1	2	2	0	1	1	4	0	1	1	2	1	2	1	3	0	3	0	1	2	2	1	1	0	0	0	0	0	1	1	2	0	1	3	1	5	0	0	0	4	2	2	2	0	2	3	4	1	5	3	1	1	3	1	3	0	2	2	1	1	1	1	3	0	2	1	4	1	3	0	2	2	2	2	3	2	1	2	3	1	1	1	1	4	1	2	2
Silvanigrella	0	3	2	2	0	2	0	7	3	3	1	3	3	2	1	3	4	0	1	5	3	2	8	6	3	4	2	2	2	5	2	1	1	2	1	3	5	0	4	5	0	4	1	2	1	2	3	2	3	5	2	6	4	2	0	3	2	1	3	4	1	1	3	0	0	2	0	2	2	6	3	0	3	1	2	1	2	3	7	0	4	0	0	2	1	1	1	6	0	2	3	6	2	5	4	4	2	3	2	2
Simplicispira	13	18	19	17	18	14	15	17	16	22	23	17	20	14	25	27	20	18	23	16	20	21	21	11	23	21	19	31	18	17	15	23	18	21	16	24	18	21	13	25	13	13	23	22	20	26	14	21	18	25	25	20	20	16	11	16	23	26	15	18	23	14	25	21	20	20	20	20	17	23	16	23	19	17	14	16	26	22	20	18	17	14	22	24	18	21	15	15	20	21	25	21	22	19	14	20	22	19	19	22
Skermanella	3	1	1	0	0	1	2	1	2	1	1	0	2	0	1	1	1	3	1	0	1	1	3	2	4	0	1	3	0	1	1	0	2	3	0	3	0	1	0	2	0	1	2	0	0	1	0	0	2	1	0	2	3	2	2	1	0	3	1	0	4	1	0	2	0	0	1	1	0	2	1	2	0	0	0	2	1	0	0	1	3	2	0	1	0	3	1	2	1	1	1	5	2	2	3	1	4	1	0	2
Smithella	3	1	2	2	2	2	1	0	2	1	1	2	0	4	2	2	0	2	4	2	2	3	1	2	1	2	1	3	1	3	1	0	1	1	3	1	1	2	3	1	3	2	2	4	4	2	1	1	3	0	4	7	2	0	0	2	0	1	0	3	4	5	3	2	5	3	2	1	2	2	0	1	2	4	0	4	3	2	1	1	4	5	1	5	1	2	1	4	1	2	1	1	1	0	2	0	0	1	1	1
Solibacillus	0	2	0	0	1	1	0	2	0	0	1	0	0	1	0	5	0	2	2	0	0	0	3	1	0	4	1	3	1	0	2	0	1	1	0	0	2	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	1	0	2	0	1	1	0	1	0	0	0	1	0	0	0	3	1	2	2	2	0	0	0	0	0	1	2	1	1	0	0	2	0	1	0	1	1	3	0	1	0	0	0	1	1	0	3	1
Solitalea	8	6	12	6	6	9	3	4	6	3	7	9	8	4	10	4	4	8	6	8	5	10	5	7	6	14	7	8	3	5	2	6	6	7	3	6	6	5	10	8	11	11	6	8	10	8	8	7	10	11	7	4	9	12	11	7	8	8	8	7	3	4	6	13	7	11	11	8	6	12	8	4	7	5	3	9	13	5	9	6	7	13	11	6	8	6	6	6	4	10	8	5	6	6	2	9	9	2	8	4
Sphaerotilus	28	25	20	20	25	22	28	33	28	23	32	26	13	22	32	23	32	17	22	37	22	31	28	28	20	27	22	26	24	31	29	29	26	18	27	18	21	20	30	21	32	21	27	22	31	25	19	25	27	21	33	22	20	30	31	20	18	23	17	26	24	31	26	29	29	24	17	31	23	23	19	18	14	34	24	22	26	23	28	26	22	20	24	32	31	15	30	26	25	32	24	25	25	24	20	21	20	33	25	19
Sphingobium	4	3	5	7	6	5	12	6	5	8	3	4	5	5	7	9	9	4	11	2	7	5	6	6	3	8	5	4	5	4	5	3	3	2	2	7	6	6	4	8	6	3	10	9	5	6	4	2	8	3	9	7	7	3	6	8	6	4	6	3	6	4	10	7	7	5	8	8	5	2	4	6	5	6	3	5	5	6	7	8	3	5	6	6	3	7	3	7	2	11	7	11	9	10	5	2	3	11	11	5
