	9.1	9.2	8	7	6	5	4	P	3	2	1	N
Cardiobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Carnobacteriaceae	85.0	14.0	1931.0	169.0	2.0	148.0	238.0	187.0	226.0	669.0	175.0	0.0
Caulobacteraceae	2.0	3.0	339.0	3572.0	1.0	180.0	359.0	4.0	186.0	940.0	125.0	0.0
Cellulomonadaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
Cellvibrionaceae	3.0	2.0	19.0	125.0	0.0	13.0	51.0	0.0	16.0	53.0	34.0	0.0
Chitinibacteraceae	5.0	3.0	38.0	1305.0	1.0	44.0	140.0	1.0	57.0	148.0	42.0	0.0
Chitinimonadaceae	1.0	0.0	1.0	54.0	0.0	3.0	0.0	0.0	8.0	35.0	2.0	0.0
Chitinivibrionaceae	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Chitinophagaceae	78.0	30.0	2856.0	394.0	0.0	827.0	772.0	3.0	460.0	417.0	606.0	0.0
Christensenellaceae	6.0	5.0	244.0	74.0	1.0	40.0	58.0	1.0	72.0	382.0	59.0	0.0
Chromatiaceae	0.0	1.0	0.0	38.0	0.0	1.0	2.0	0.0	4.0	17.0	16.0	0.0
Chromobacteriaceae	2.0	7.0	10.0	488.0	0.0	32.0	50.0	0.0	27.0	187.0	80.0	0.0
Chroococcidiopsaceae	0.0	0.0	7.0	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	0.0
Chthoniobacteraceae	0.0	0.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clade III	0.0	0.0	0.0	33.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Cloacimonadaceae	0.0	0.0	3.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Clostridiaceae 1	9.0	7.0	492.0	206.0	1.0	101.0	122.0	1.0	102.0	99.0	102.0	0.0
Clostridiaceae 4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
Clostridiales vadinBB60 group	0.0	0.0	7.0	0.0	0.0	0.0	10.0	0.0	5.0	0.0	0.0	0.0
Coleofasciculaceae	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Colwelliaceae	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Competibacteraceae	0.0	0.0	28.0	267.0	0.0	4.0	18.0	0.0	1.0	42.0	0.0	0.0
Coriobacteriaceae	0.0	0.0	4.0	0.0	0.0	0.0	1.0	0.0	3.0	3.0	2.0	0.0
Coriobacteriales Incertae Sedis	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Corynebacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
Coxiellaceae	3.0	1.0	42.0	334.0	0.0	9.0	29.0	0.0	14.0	13.0	19.0	0.0
Crocinitomicaceae	21.0	7.0	371.0	623.0	2.0	766.0	716.0	2.0	1353.0	417.0	985.0	1.0
Cryomorphaceae	0.0	0.0	8.0	21.0	0.0	4.0	7.0	0.0	4.0	7.0	6.0	0.0
Cryptosporangiaceae	1.0	1.0	65.0	5.0	0.0	3.0	13.0	0.0	1.0	43.0	6.0	0.0
Cyanobacteriaceae	0.0	0.0	6.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
Cyanobiaceae	0.0	0.0	6.0	0.0	0.0	6.0	1.0	0.0	5.0	4.0	4.0	0.0
