name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Armatimonadaceae	F	0	2	0	1	2	2	2	2	0	0	3	0	0	1	0	3	0	1	2	2	2	1	0	0	0	2	0	2	0	1	3	1	2	1	2	0	0	0	2	2	1	0	1	1	1	1	0	1	2	1	2	0	2	1	1	1	1	0	0	2	0	1	0	1	0	2	1	2	2	0	2	3	0	0	0	3	0	0	2	2	2	1	0	0	0	1	1	1	1	0	1	1	1	0	0	0	2	0	2	0
Peptostreptococcaceae	F	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0	2	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	1	0	1
Ruminococcaceae	F	0	1	0	1	0	1	1	0	1	1	3	1	0	1	1	1	2	0	0	1	0	0	0	0	3	2	1	0	0	2	0	2	0	1	0	1	2	2	1	1	0	1	0	1	0	0	2	0	1	2	0	1	0	4	0	0	0	3	0	1	0	1	0	0	0	0	0	1	0	0	1	3	0	1	1	1	1	0	0	0	1	0	0	0	0	0	1	2	1	0	0	2	0	2	1	0	0	1	0	1
Clostridiaceae 1	F	0	0	0	1	0	0	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	2	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	2	0	0
Lachnospiraceae	F	0	0	2	0	0	0	0	1	1	1	0	1	1	1	1	2	0	1	0	0	0	1	1	1	1	2	1	0	0	2	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	1	0	0	1	0	1	1	1	0	0	2	0	1	0	1	0	0	4	0	0	0	2	0	2	2	1	1	1	0	0	0	0	1	0	2	1	1	1	0	0	0	0	1	1	0	1	0	1	0	0	1	0	0	0	0
Christensenellaceae	F	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacillaceae	F	5097	4946	5089	4925	4991	5015	5043	5010	5030	5015	5040	5045	5041	5002	5024	5042	5052	5071	5031	4997	4936	4953	5066	5020	5010	4907	5058	5097	5043	4949	5016	4969	5032	5162	5054	5114	5092	4983	5005	4963	5082	5023	4980	4901	5065	4990	5059	4936	5133	5094	5055	4995	5009	4972	5067	5116	5026	5163	5182	5018	5113	4985	4916	5052	5040	4976	4976	5017	5031	5123	5000	4957	4938	4959	4961	4982	4963	4855	4935	5027	5054	4986	4980	5050	5028	5083	5019	4989	5072	5133	5074	5060	5068	5078	5002	5073	4990	5023	5049	5159
Staphylococcaceae	F	2623	2653	2677	2628	2584	2701	2579	2638	2587	2670	2562	2656	2679	2626	2657	2501	2552	2595	2655	2636	2702	2620	2655	2586	2621	2665	2667	2669	2654	2641	2558	2575	2549	2614	2627	2547	2591	2731	2665	2629	2600	2589	2602	2711	2602	2595	2602	2649	2532	2658	2697	2719	2600	2635	2568	2593	2641	2627	2514	2611	2542	2714	2549	2688	2634	2639	2589	2593	2603	2659	2516	2657	2583	2736	2541	2666	2629	2633	2623	2658	2595	2662	2599	2650	2633	2661	2637	2590	2538	2577	2612	2662	2601	2630	2591	2583	2634	2632	2672	2495
Listeriaceae	F	1411	1471	1353	1398	1397	1408	1417	1374	1426	1407	1365	1358	1396	1404	1455	1416	1344	1457	1391	1441	1418	1432	1435	1406	1383	1406	1409	1402	1397	1457	1412	1375	1403	1403	1384	1366	1401	1437	1377	1371	1396	1331	1362	1441	1371	1344	1386	1371	1392	1480	1430	1413	1415	1371	1432	1367	1322	1347	1396	1353	1377	1413	1396	1473	1350	1352	1367	1427	1443	1373	1362	1414	1429	1393	1420	1326	1434	1435	1427	1354	1423	1415	1404	1426	1418	1326	1411	1383	1406	1448	1447	1393	1414	1359	1398	1389	1402	1420	1327	1407
Paenibacillaceae	F	0	2	2	1	3	2	2	3	0	2	1	3	1	0	2	1	2	1	2	2	3	2	1	2	1	2	3	0	2	3	2	1	3	2	5	2	5	3	3	3	3	5	1	1	1	0	1	2	2	1	2	1	2	1	2	1	4	2	1	3	1	0	0	1	2	3	2	1	4	0	0	3	3	0	0	3	5	2	3	1	5	4	2	2	3	2	0	2	1	3	4	5	1	4	2	1	3	1	0	6
