	1-April_genus.tsv	1-August_genus.tsv	1-June_genus.tsv	2-April_genus.tsv	2-August_genus.tsv	3-April_genus.tsv	4-April_genus.tsv	4-August_genus.tsv	5-April_genus.tsv	5-August_genus.tsv	6-August_genus.tsv	6-June_genus.tsv	7-April_genus.tsv	8-April_genus.tsv	9.1-August_genus.tsv	Mock-April_genus.tsv	Mock-August_genus.tsv	Mock-June_genus.tsv
Chryseoglobus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chryseolinea	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
Chryseomicrobium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chthonobacter	0.0	0.0	5.0	7.0	0.0	0.0	0.0	8.0	0.0	1.0	5.0	0.0	5.0	0.0	1.0	0.0	0.0	0.0
Citrobacter	22.0	15.0	15.0	7.0	2.0	4.0	10.0	5.0	11.0	1.0	3.0	0.0	18.0	27.0	4.0	109.0	121.0	51.0
Cloacibacterium	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Clostridium sensu stricto 1	17.0	16.0	22.0	17.0	80.0	15.0	17.0	89.0	30.0	59.0	83.0	40.0	22.0	63.0	48.0	0.0	1.0	0.0
Clostridium sensu stricto 10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 12	0.0	1.0	0.0	0.0	1.0	0.0	0.0	6.0	0.0	4.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0
Clostridium sensu stricto 13	1.0	0.0	0.0	0.0	9.0	3.0	5.0	9.0	3.0	9.0	5.0	4.0	10.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 18	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 2	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 5	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 8	0.0	0.0	0.0	0.0	4.0	0.0	0.0	2.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Clostridium sensu stricto 9	0.0	1.0	0.0	0.0	4.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	2.0	0.0	0.0	0.0
Cnuella	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cohnella	0.0	1.0	0.0	3.0	1.0	0.0	0.0	5.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
