V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Rhizobiales Incertae Sedis	1	0	0	0	1	0	0	0	0	1	0	2	2	2	0	1	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	2	0	1	0	4	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	0	1	2	0	0	0	0	0	1	0	0	1	2	1	0	1	1	0	0	0	0	1	0	0	0	0	2	1	0	0	0
Rhodanobacteraceae	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Rhodobacteraceae	4	8	4	6	3	6	4	2	5	5	4	2	5	5	7	9	5	6	3	11	4	4	7	4	3	10	5	3	5	7	5	8	4	3	6	6	6	14	7	7	5	8	5	8	7	3	6	11	6	4	7	11	2	5	5	7	9	6	8	5	3	7	4	8	7	8	3	8	12	1	5	9	1	3	8	4	6	8	3	8	6	4	9	11	3	6	6	7	6	3	5	5	9	4	5	6	7	6	6	7
Rhodocyclaceae	0	0	0	0	2	2	3	0	1	0	1	1	0	1	1	0	1	0	1	0	1	1	0	2	1	0	0	1	2	2	2	0	1	2	0	1	0	2	0	1	3	1	1	1	1	2	1	2	1	2	0	1	0	0	0	0	1	0	0	1	2	0	2	2	1	1	2	0	1	0	0	0	1	2	2	0	0	3	1	1	1	2	0	0	1	0	1	0	3	1	1	0	0	1	0	2	0	0	1	0
Ruminococcaceae	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	1	1	0	2	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1	0	3	2	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
SC-I-84	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	0	0	0	0	0	0
Shewanellaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
Sphingomonadaceae	0	2	1	2	1	3	2	2	3	2	2	3	1	2	1	2	5	2	3	2	0	3	3	2	4	3	4	0	5	2	1	2	6	1	1	5	2	0	3	2	5	3	4	6	2	4	1	1	1	7	6	2	5	3	3	2	4	2	3	4	2	3	0	2	1	2	4	2	4	2	4	2	1	4	1	3	1	0	3	1	3	3	2	1	1	2	5	3	1	1	1	3	4	3	2	1	3	0	1	3
Spirosomaceae	14	21	5	12	12	17	11	12	14	17	11	11	15	8	13	7	12	14	10	18	12	19	15	17	9	15	9	19	13	15	8	20	18	18	11	11	10	9	17	9	17	13	10	8	8	17	7	14	19	13	12	16	12	10	15	12	10	11	15	13	12	19	22	15	11	18	14	11	17	10	14	11	17	14	10	17	15	13	18	14	13	16	11	9	13	15	16	17	11	7	14	25	17	12	15	11	11	8	10	18
Spongiibacteraceae	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
