V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30	V31	V32	V33	V34	V35	V36	V37	V38	V39	V40	V41	V42	V43	V44	V45	V46	V47	V48	V49	V50	V51	V52	V53	V54	V55	V56	V57	V58	V59	V60	V61	V62	V63	V64	V65	V66	V67	V68	V69	V70	V71	V72	V73	V74	V75	V76	V77	V78	V79	V80	V81	V82	V83	V84	V85	V86	V87	V88	V89	V90	V91	V92	V93	V94	V95	V96	V97	V98	V99	V100	V101
Lactobacillus	1685	1720	1727	1659	1689	1831	1722	1778	1794	1753	1788	1760	1771	1730	1760	1765	1758	1783	1758	1737	1705	1719	1742	1727	1810	1751	1817	1737	1781	1769	1781	1743	1754	1759	1737	1726	1781	1725	1798	1712	1723	1725	1724	1829	1676	1737	1752	1708	1765	1822	1682	1809	1759	1769	1757	1756	1743	1717	1744	1729	1725	1784	1726	1770	1691	1724	1786	1800	1691	1822	1795	1698	1755	1789	1695	1757	1743	1772	1792	1761	1720	1741	1751	1791	1680	1765	1794	1727	1713	1798	1689	1789	1712	1770	1791	1811	1743	1746	1665	1721
Limnohabitans	7	8	8	5	8	6	12	4	8	5	13	9	7	6	10	7	6	6	6	12	11	5	5	5	10	4	7	7	8	5	6	10	11	5	6	7	10	10	11	5	7	7	10	4	4	6	3	4	6	6	10	6	9	7	6	6	5	5	9	4	5	11	9	5	6	8	9	6	6	5	15	8	8	7	3	10	9	12	8	5	3	5	13	7	6	5	7	11	8	9	7	12	6	4	6	7	18	3	6	8
Listeria	2820	2687	2798	2799	2760	2839	2742	2790	2871	2750	2787	2791	2878	2727	2813	2743	2795	2890	2835	2775	2714	2874	2795	2777	2808	2771	2791	2731	2733	2760	2887	2789	2809	2774	2772	2743	2806	2749	2721	2852	2826	2785	2804	2675	2746	2778	2870	2819	2733	2929	2850	2796	2810	2810	2802	2742	2860	2854	2836	2719	2808	2869	2784	2758	2717	2799	2810	2803	2711	2744	2809	2736	2840	2869	2764	2790	2756	2743	2787	2742	2830	2749	2731	2789	2813	2763	2827	2806	2724	2815	2838	2741	2770	2799	2741	2820	2782	2685	2880	2840
Massilia	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	1	2	1	0	2	0	2	0	0	0	1	0	1	3	2	1	0	0	2	2	0	2	0	0	0	3	2	3	1	0	1	1	1	0	0	0	1	0	0	0	2	0	0	1	0	3	0	2	0	1	1	1	0	1	1	1	0	3	1	0	2	1	1	0	2	0	0	1	0	0	0	0	0	2	0	2	1	1
Pantoea	4	3	4	1	1	2	2	3	4	1	4	5	6	6	5	7	4	4	2	4	9	4	4	6	7	5	2	3	4	3	7	9	3	6	3	5	4	6	5	3	4	8	3	6	5	2	3	5	3	7	6	4	5	3	4	7	4	2	4	6	2	5	2	2	4	5	6	7	7	5	8	3	3	5	4	2	5	3	6	4	9	2	3	4	5	3	10	5	2	4	5	3	6	6	10	3	3	2	6	5
Pectobacterium	2	2	0	1	2	0	0	0	0	0	1	1	0	0	3	1	2	1	1	2	1	2	2	2	0	1	1	2	1	1	0	1	0	1	1	1	0	0	2	2	0	1	0	0	2	2	1	2	3	0	1	0	1	0	3	1	0	1	2	1	2	2	0	1	1	1	1	0	1	1	2	1	1	1	1	0	1	2	5	0	1	0	2	1	0	2	2	1	1	0	3	4	1	2	1	0	0	1	1	1
Pluralibacter	1	1	2	5	2	4	3	2	3	1	3	4	4	2	1	1	1	1	4	0	3	0	1	1	3	6	2	5	3	1	2	0	0	1	1	0	1	6	2	1	3	2	4	1	3	3	2	2	4	3	3	0	0	1	1	2	3	1	4	2	4	4	3	1	1	0	2	1	2	0	4	4	3	4	2	6	3	4	3	3	3	0	2	1	0	3	2	2	1	1	4	3	2	1	4	3	3	2	0	4
Polynucleobacter	3	0	0	0	0	0	2	2	0	2	0	2	1	1	2	1	2	0	0	0	1	1	0	0	2	0	1	0	1	1	1	2	1	0	2	1	0	1	1	0	2	2	0	0	0	1	2	1	1	1	0	2	1	0	0	0	0	3	1	2	0	0	2	1	0	0	1	1	4	1	1	1	2	0	3	0	0	1	2	2	2	0	0	0	2	1	0	2	1	4	2	0	0	2	0	1	0	1	0	2
Pseudarcicella	2	8	5	4	8	3	4	0	5	1	6	1	4	3	5	2	5	1	6	1	2	2	4	3	4	3	6	2	3	4	0	2	1	4	5	4	2	2	2	4	2	6	3	3	2	1	3	3	2	2	1	4	2	1	4	4	3	4	2	1	3	1	4	2	1	4	3	2	4	3	4	5	5	3	4	3	2	3	7	2	1	3	2	2	2	4	5	2	2	5	1	2	1	0	2	2	3	1	2	1
Pseudocitrobacter	2	0	0	1	0	0	1	1	0	0	0	1	3	1	0	0	0	0	2	0	2	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	2	1	1	1	2	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	1	0	2	2	1	0	0	0	0	0	0	1	0	2	1	0	2	0	2	1	0	1	0	1	1	0	0	1	0	1	0	1	1	0	0	1	1	2	1	0	1	0	1	0
Pseudomonas	246	256	284	261	247	219	251	227	243	279	252	237	262	250	237	272	260	278	270	268	233	263	259	271	232	273	258	258	258	269	264	239	259	268	273	255	249	224	282	271	263	263	271	254	260	227	247	240	268	277	280	255	251	258	256	269	255	268	245	274	258	256	258	256	255	239	240	258	276	250	260	262	259	243	241	257	267	268	259	256	266	289	265	274	259	228	248	238	278	288	262	258	240	243	259	237	244	252	248	253
Pseudorhodobacter	0	1	0	1	0	0	3	1	1	1	0	0	0	0	0	0	1	1	1	1	0	1	0	0	1	0	1	2	0	0	1	0	1	3	3	1	2	1	1	0	0	0	0	1	0	0	1	0	1	0	1	1	1	1	0	1	1	0	0	0	2	0	0	2	1	2	1	1	1	2	1	0	0	1	1	0	2	2	2	5	0	1	1	1	4	1	3	0	0	0	1	1	0	0	3	0	1	0	0	2
Raoultella	4	3	4	2	1	1	3	2	2	1	1	1	2	1	1	0	1	2	2	1	0	3	0	3	0	0	2	1	2	0	0	2	2	1	0	0	1	2	2	2	0	2	3	2	1	2	1	1	1	1	4	1	2	1	5	0	0	2	1	1	0	4	0	1	1	5	0	2	1	3	2	3	1	0	1	2	1	1	0	0	0	1	1	1	3	2	1	3	1	0	3	2	2	0	3	1	0	1	5	1
Rhodobacter	0	3	1	0	2	1	1	2	1	0	0	0	0	0	0	1	0	2	1	1	0	2	1	0	1	0	0	1	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	1	1	0	2	1	0	2	0	1	4	1	1	0	4	1	1	2	1	0	2	1	2	1	1	0	2	1	0	1	1	0	0	1	0	2	1	2	0	0	1	0	0	2	1	1	2	1	1	1	0	0	0	0	2	1	0	0
Rhodoferax	1	2	3	3	1	3	1	1	0	1	2	1	1	2	2	2	0	2	2	3	2	2	0	3	0	2	4	2	1	1	3	6	4	3	3	4	6	0	0	2	0	2	2	2	1	2	2	1	6	2	1	3	0	4	0	0	0	2	0	3	2	3	2	1	0	3	0	4	3	2	2	2	0	1	1	2	3	0	1	2	3	0	2	7	2	3	3	2	1	4	1	1	0	5	2	3	0	2	1	2
Salmonella	10078	10029	10298	10284	10197	10095	10101	10081	10023	10022	10039	10035	10054	10116	10090	10097	10125	9998	10148	10129	10288	10119	10213	10235	10107	10182	10140	10191	10262	10086	10027	10183	10246	10085	9933	10248	10038	10127	10058	10142	10197	10212	10046	10102	10173	10294	9994	10212	10171	10013	10109	10147	10110	10212	10050	9995	10059	10272	10199	10148	10335	10063	10012	10114	10180	10162	10006	9955	10238	10235	10077	10100	10116	9949	10244	10038	10052	10085	10120	10041	10254	10243	9981	10081	10269	10114	10151	10020	10083	10123	10081	10205	10177	10188	10190	10120	10235	10332	10179	10130
Serratia	4	3	2	0	4	0	1	1	1	2	2	0	1	0	2	1	3	5	1	4	1	0	4	1	1	1	4	3	1	2	2	1	1	2	2	0	0	1	2	1	1	0	3	3	3	2	1	2	1	3	4	3	1	3	1	0	1	3	0	3	2	1	3	3	0	1	3	0	2	1	0	0	1	0	0	0	2	2	1	0	1	0	1	2	2	1	0	1	1	3	3	1	1	0	1	1	2	1	5	2
Shimwellia	0	0	1	4	1	4	5	1	0	1	2	0	2	2	2	1	0	2	2	5	2	1	4	2	0	1	1	3	3	2	0	2	2	0	2	1	1	0	1	3	0	3	0	1	0	2	0	0	1	2	2	4	0	0	2	1	1	3	1	0	0	0	0	1	0	2	2	3	3	1	3	2	1	3	1	1	2	2	1	4	1	3	5	2	1	1	1	4	4	1	3	3	2	1	0	1	0	2	1	2
Simplicispira	2	0	1	0	1	0	1	1	1	1	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	1	0	0	0	0	1	1	0	0	0	1	1	0	2	0	1	1	0	0	0	2
Sphingorhabdus	3	5	1	0	1	2	2	1	1	0	1	1	0	1	1	1	1	2	0	1	2	1	1	0	2	2	1	1	2	2	1	1	0	0	0	2	1	2	1	0	3	1	2	2	0	0	1	0	1	2	1	0	2	1	2	2	1	1	2	2	1	0	2	4	2	1	2	1	1	0	2	1	1	1	1	2	1	3	2	1	0	0	4	0	0	0	0	2	0	1	2	1	1	1	1	0	1	4	0	1
Staphylococcus	3525	3622	3397	3513	3584	3463	3604	3508	3541	3634	3595	3592	3541	3578	3633	3515	3573	3578	3605	3611	3524	3513	3518	3510	3510	3512	3472	3578	3483	3530	3483	3532	3550	3561	3528	3547	3562	3526	3604	3611	3517	3483	3587	3640	3590	3582	3637	3478	3521	3527	3519	3560	3572	3511	3565	3552	3628	3408	3597	3485	3541	3518	3524	3579	3541	3554	3639	3550	3527	3580	3532	3577	3543	3573	3474	3561	3602	3574	3509	3500	3630	3591	3558	3586	3514	3606	3615	3625	3566	3517	3465	3486	3602	3544	3498	3529	3672	3524	3486	3543
Sulfurimonas	1	1	1	1	1	2	1	0	2	0	1	0	1	0	0	1	0	0	2	0	1	0	0	2	3	1	0	0	1	0	0	3	1	1	0	0	1	0	1	0	2	0	1	1	0	1	0	0	1	1	2	0	1	1	0	1	0	0	0	0	2	1	1	2	1	0	1	1	1	0	3	0	1	0	1	0	0	1	2	1	2	0	1	1	1	0	0	1	0	0	1	1	1	5	0	1	0	1	0	0
Trichococcus	0	0	1	2	2	0	2	1	2	0	1	0	1	2	2	0	0	0	2	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	1	1	0	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	0	1	1	0	0	0	0	1	0	1	3	2	0	0	1	1	0	0	1	2	0	1	1	1	1	0	0	0	1	1	1	0	1	2	1	0	0	0	0	0
Vibrio	2	1	1	4	1	2	1	3	2	0	0	4	2	2	2	2	3	4	2	2	0	3	2	5	2	0	2	3	3	1	5	1	4	1	2	2	1	3	1	2	2	1	4	2	1	3	1	2	0	1	2	2	0	4	6	5	2	1	2	2	2	3	3	1	3	2	2	5	3	1	2	5	2	0	4	3	2	2	4	3	1	1	5	3	0	2	2	2	0	3	0	5	0	1	3	5	2	3	7	2
