	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
e26a50ef-e484-4532-ad56-82bc0a6f6bb2	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Shewanellaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e26f8ae0-1bfd-4952-b7dd-03024f27480d			Dikarya											
e27441a1-7629-4bd4-8bb3-e0606d70b3b7	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e274aae0-1d0e-4a0f-8a81-1b62b2e9cfac			Dikarya											
e27cbdfd-3841-45a3-b5cd-1ce6d725cef1			Enterobacteriaceae											
e27cc237-6e57-4cf4-8af3-b41c1512f6d8	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e27cd51a-c729-41cb-837d-4c21cccec6d2			Dikarya											
e27dc45e-2375-4ee2-a3c3-2c51c39441a1	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2847c26-7be7-4347-a29c-97344c1318e1			Dikarya											
e28c4fb2-9e80-44fc-97b2-faa630da86a1			Dikarya											
e2922593-a1f0-485d-88b1-e355a75acbe6			Dikarya											
e29f6eb6-31ec-455d-a29f-6c6ec7bd5720	Enterococcaceae	Enterococcaceae		Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae	Enterococcaceae
e2a3cf3e-a726-4014-b863-5dfdc29c86c2	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
e2a537d5-b4cd-493b-bd46-6a6e100e111f			Enterobacteriaceae											
e2a9b80c-8cbe-49f6-933b-1ee290b21f65	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
e2aa217d-2dab-4c9e-92c0-faca8ad4e996	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2aa80b0-1659-48c5-9dd5-dbfd597bda2b	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2abcf0e-811e-4a16-a4c9-f3b7f0858fff			Listeriaceae											
e2aca4fb-f990-45cf-8afa-f0be253410b6	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2ad6528-c7f6-4df5-87bf-02f204d2deb4	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2ae8c3c-54e5-4436-9c3f-bf39aa9e59f4	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2b247ff-0071-4348-b360-b7a342d9d352			Dikarya											
e2b7501d-410e-47b5-b6c5-274c6dd5760a	Enterobacteriaceae			Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterococcaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2b9f682-f294-43cc-819e-7a27a197ecf2	Listeriaceae	Listeriaceae		Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae	Listeriaceae		Listeriaceae	Carnobacteriaceae	Listeriaceae	Listeriaceae	Listeriaceae
e2c1a932-1147-49b9-a1ac-222184c574dd	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2c59081-ed50-4983-9877-6391bfba399b	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
e2cb895e-794f-4b82-b06b-d089270fe189			Dikarya											
e2d667cd-6d15-41d1-844d-ae4df8c143b2			Enterobacteriaceae											
e2dfebed-ddc3-449f-955c-1848a0da0cb8			Enterobacteriaceae											
e2e0e467-b82e-406c-a94e-0143dd660970			Enterobacteriaceae											
e2e8f840-bf4c-4d30-9c59-413ad8b31434	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
e2f248a0-774d-4a3f-9fcb-7f1712bcf267			Dikarya											
