	megablast	blastn	qiime_blastn	qiime_sklearn	mapseq	centrifuge	kraken2	minimap2(12)	mothur(6)	idtaxa	rdp	sintax	spingo(8)	gt
f8520325-ebc8-42b7-ab9b-a2a28d29342e	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8565311-fda0-4d16-ade2-b77ecc74cc42	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f85cd68b-cc9a-4055-abd4-7c85c7aad8ae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f8602765-64ff-49df-a04d-d9efae92fee6	Staphylococcaceae	Staphylococcaceae		Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
f86b8ed2-9357-4e7b-8880-76a2ef00de70	Listeriaceae			Dikarya	Listeriaceae	Planococcaceae	Bacillaceae	Listeriaceae		Listeriaceae	Bacillaceae	Listeriaceae	Listeriaceae	Listeriaceae
f86c4b98-f428-4d79-8a57-f2d73ee19fbf	Enterobacteriaceae			Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f872e8fb-2ddd-45af-846d-632d778250ca			Enterobacteriaceae											
f8754a95-318e-42e6-9a3f-0a4e8cccf6e9			Dikarya											
f8779561-0188-416c-aec5-f83176e742f6			Enterobacteriaceae											
f87a5138-064c-41db-8e35-0c45ce9dad5f	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f8823c77-18de-4e1d-b8a1-ca1d85e813fd	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f8862c4d-82e5-4c7c-8428-6c9e8084da2e	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f886bcfb-0e77-4400-a168-5a09c234b4e2	Enterobacteriaceae	Enterobacteriaceae		Dikarya	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8885753-1edc-479a-9a3c-2020e0644c02	Staphylococcaceae			Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
f88f3e75-1897-445b-992c-923ba7c36cf4	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f891d644-2e55-4522-b386-aeea9cb3bf96	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae		Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae	Bacillaceae
f893cded-d379-4bdd-9a21-441e49a014b0	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae		Lactobacillaceae	Carnobacteriaceae	Lactobacillaceae	Lactobacillaceae	Lactobacillaceae
f896d2b0-b1cf-4053-9dd9-3918b1643baa	Staphylococcaceae	Staphylococcaceae		Dikarya	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae		Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae	Staphylococcaceae
f89724ec-cd5d-4926-9fe0-09f9bf35ae55			Staphylococcaceae											
f899c44c-2055-4212-bb6f-6c5863968798	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae		Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae	Enterobacteriaceae
f8a01986-b91c-4c67-a244-869c8cf8662c	Rhodobacteraceae	Rhodobacteraceae		Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae		Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae	Rhodobacteraceae
f8a0a834-b451-421c-aa0b-2d81166cc37b			Bacillaceae											
