name	taxRank	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Raoultella	G	9	5	1	3	9	5	6	10	11	4	14	9	8	3	8	8	5	8	5	7	2	9	6	6	7	10	6	6	5	8	5	5	4	3	6	4	6	4	6	9	1	4	5	7	5	4	7	5	6	6	9	3	6	5	9	4	12	4	4	7	9	6	10	6	7	9	6	4	5	6	10	2	10	3	7	2	9	6	2	5	5	8	5	3	6	3	4	8	9	4	8	8	5	9	4	4	4	7	4	9
Pluralibacter	G	1	0	3	3	2	3	2	2	6	4	4	4	2	1	0	4	1	3	1	2	7	5	4	0	5	2	1	2	3	4	2	2	2	4	3	2	0	2	2	7	2	0	2	1	1	2	3	0	1	4	4	4	1	2	3	3	2	4	1	0	0	2	2	1	2	2	6	0	2	2	1	2	2	4	1	3	2	2	2	1	2	2	3	1	3	0	2	2	0	1	2	3	6	2	6	5	2	2	5	4
Kosakonia	G	30	32	30	10	18	19	19	25	27	15	18	16	25	30	25	24	32	17	19	24	32	25	25	21	36	19	25	23	26	24	24	19	24	23	17	25	23	29	20	22	23	17	28	22	19	26	29	26	16	21	27	34	27	17	30	23	21	18	26	20	20	24	27	18	22	23	10	33	31	34	18	11	26	27	27	13	24	22	17	26	30	31	35	17	26	32	28	21	23	16	23	11	27	21	22	31	34	23	34	18
Yersinia	G	26	13	19	18	19	15	15	17	24	21	16	22	21	21	17	17	23	20	21	17	21	14	26	22	17	18	13	18	19	26	16	22	28	21	19	21	20	17	24	20	23	21	18	13	23	16	21	24	16	22	20	14	21	11	9	28	22	16	28	18	20	16	18	16	21	21	23	17	15	21	16	19	22	24	18	15	22	13	14	23	16	16	14	24	21	17	26	21	21	17	13	22	12	12	14	19	21	10	23	23
Xenorhabdus	G	1	4	2	2	2	0	0	1	1	2	0	1	3	0	1	0	2	0	1	2	2	1	3	1	1	1	2	0	2	1	2	2	3	0	0	0	1	0	0	2	0	1	3	1	2	1	1	0	1	2	1	1	1	1	1	0	0	2	0	3	0	2	1	0	0	2	1	1	1	0	2	1	2	0	1	1	1	0	0	1	1	3	2	1	0	0	3	1	0	0	0	1	3	1	5	1	2	1	2	2
Franconibacter	G	8	6	6	5	1	3	3	2	2	5	1	4	3	6	6	10	6	2	5	3	2	7	5	8	11	2	4	2	2	4	6	4	6	4	10	5	1	4	7	2	8	4	5	4	5	3	8	2	5	5	11	7	2	2	3	6	2	7	5	6	3	9	4	2	1	2	5	5	5	10	4	6	4	1	4	5	5	10	6	6	9	2	8	5	2	1	8	4	3	5	5	6	5	5	4	4	2	5	10	3
Rickettsiella	G	1	1	1	2	1	0	1	3	0	0	1	2	1	1	0	2	1	1	2	0	0	0	0	2	1	0	1	4	1	0	1	0	3	1	1	1	0	2	1	1	0	1	2	1	1	2	1	2	1	1	3	1	1	3	0	1	0	0	1	0	1	0	2	0	0	0	1	1	1	0	1	1	0	1	2	1	0	1	3	1	3	0	1	0	2	0	0	1	0	2	1	0	0	2	0	1	0	0	1	0
Pseudomonas	G	254	220	215	245	238	264	219	239	227	234	230	231	242	233	212	234	218	237	248	228	255	231	266	263	237	225	243	233	253	220	238	247	241	254	233	211	211	246	237	226	227	231	223	237	227	235	223	264	238	262	234	245	233	229	228	226	239	244	237	217	245	245	235	237	244	255	229	225	256	233	240	244	246	241	222	230	257	256	210	227	245	225	250	241	202	239	247	257	249	210	227	250	255	236	238	244	238	213	244	225
Tabrizicola	G	5	3	2	1	3	2	5	1	5	2	1	1	3	2	0	3	1	2	0	2	5	4	2	3	1	0	1	1	2	4	1	1	3	4	1	2	0	1	0	2	2	1	5	1	1	0	2	1	0	1	2	1	0	2	1	1	0	4	0	3	2	1	1	1	1	3	2	2	3	4	3	1	1	0	3	2	0	1	1	0	2	3	0	0	1	3	5	0	2	3	3	0	0	2	1	2	2	4	2	4
Rhodobacter	G	0	2	3	2	0	2	2	2	1	2	1	2	1	2	2	2	1	3	1	1	0	1	5	3	3	1	1	1	0	0	1	2	0	0	2	1	1	3	1	1	1	1	2	0	2	0	3	0	0	2	1	1	1	1	2	0	1	5	3	1	1	3	1	2	1	1	1	1	2	2	2	0	1	2	2	0	1	1	1	1	3	1	2	3	0	1	0	4	2	1	1	3	4	3	0	5	3	1	1	4
Pseudorhodobacter	G	0	0	1	3	1	1	1	1	1	1	0	0	0	0	2	2	3	1	1	1	0	0	2	2	1	1	2	0	0	0	1	1	0	2	2	0	2	0	1	0	1	0	1	0	2	0	2	2	0	0	1	0	0	0	0	1	0	1	1	1	1	1	1	0	1	1	1	2	1	2	0	1	0	1	0	1	1	1	1	0	1	2	0	0	0	1	1	1	1	2	0	1	2	1	0	3	3	0	1	0
Sphingomonas	G	1	3	1	1	2	1	0	0	1	0	1	1	2	0	0	0	1	1	0	0	1	3	0	0	1	0	0	1	0	1	2	2	1	1	1	0	0	0	0	2	0	2	0	2	1	1	1	2	1	3	1	0	0	2	1	1	0	3	1	0	1	3	2	0	1	0	2	1	0	1	0	1	1	2	0	0	0	1	2	0	0	0	0	1	2	1	0	2	2	1	2	1	1	3	1	1	0	1	1	1
Pseudarcicella	G	14	9	13	6	9	14	12	12	12	17	18	14	17	17	18	12	15	15	10	14	13	11	15	21	14	14	16	11	12	18	16	13	11	13	9	13	16	20	13	8	12	12	9	12	13	10	11	9	8	14	12	13	10	16	12	15	12	9	14	19	11	14	11	10	14	18	18	10	9	8	13	14	7	16	6	8	9	15	12	9	11	6	15	15	18	10	11	13	15	13	9	16	12	10	7	14	15	17	15	6
Flavobacterium	G	1	3	0	1	0	0	1	2	1	5	1	1	1	3	1	1	2	3	1	2	2	2	3	2	2	0	0	1	5	3	1	2	0	1	1	2	0	0	2	4	1	1	0	0	1	2	1	3	3	0	0	3	2	1	0	2	1	1	1	0	1	1	0	1	0	2	0	2	0	1	1	2	1	2	1	0	3	1	3	0	1	4	1	0	4	1	4	4	1	1	1	1	1	1	2	2	2	1	4	3
Bacillus	G	5231	5086	5138	5192	5060	5031	5203	5047	5239	5089	5110	5227	5145	5073	4996	5091	5199	5164	5247	5112	5122	5088	5164	5199	5138	5114	5024	5180	5178	5109	5140	5095	5109	5098	5199	5089	5040	5190	5067	5264	5000	5113	5007	5212	5213	5206	5172	5214	5133	5097	5088	5120	5152	5164	5088	5218	5235	5175	5154	5110	5140	5201	5085	5147	5136	5116	5164	5194	5279	5099	5001	5185	5012	5157	5059	5101	5080	5120	5078	5054	5089	5157	5120	5235	5283	5104	5102	5113	5225	5146	5211	5151	5263	5148	5095	5081	5192	5225	5020	5280
Staphylococcus	G	2987	2906	2927	2941	2925	2940	2848	3024	2885	2990	2919	2856	2919	2905	2992	3075	2933	2854	2917	2944	3000	2991	2869	2992	2985	2924	2980	2919	2925	2910	2973	2982	2990	2975	3002	2961	2934	2962	2892	3004	2954	2976	2931	2976	3017	2881	2942	3002	2870	3047	2980	3003	2965	2955	2972	3075	2937	2929	2933	2899	2919	2947	3002	2974	2892	2966	2914	2980	2941	2903	2965	2953	2915	2907	2959	3008	2951	2905	2937	2806	2929	2941	2977	2911	2925	2909	2837	3001	2921	3008	2911	2999	2924	2970	2902	2903	2934	2900	2922	2979
Listeria	G	1690	1736	1695	1647	1726	1769	1725	1747	1697	1699	1680	1704	1775	1675	1737	1720	1722	1686	1748	1706	1722	1758	1732	1706	1727	1663	1655	1769	1688	1673	1656	1672	1731	1754	1727	1709	1770	1657	1673	1634	1685	1721	1755	1760	1702	1755	1670	1702	1741	1661	1784	1693	1689	1733	1743	1662	1801	1649	1721	1766	1711	1702	1756	1677	1690	1711	1756	1658	1655	1716	1681	1727	1691	1673	1687	1667	1685	1728	1684	1709	1670	1670	1714	1798	1651	1638	1669	1685	1690	1672	1668	1650	1653	1651	1794	1728	1682	1696	1759	1680
Paenibacillus	G	2	2	1	1	2	1	2	0	0	1	1	2	0	0	0	0	0	2	0	1	0	2	0	1	1	0	1	0	0	1	2	0	0	1	1	1	3	0	1	3	2	2	0	0	0	1	0	1	1	2	0	0	0	3	1	0	1	0	3	1	1	3	0	1	0	1	0	0	2	2	2	1	2	2	0	0	1	0	0	0	1	1	1	0	0	0	2	1	1	0	0	1	0	2	1	1	1	1	1	1
Lysinibacillus	G	2	2	1	1	0	4	0	0	1	0	0	0	1	1	0	1	0	2	2	2	1	2	2	2	0	2	1	1	0	0	1	0	1	1	1	1	1	0	2	0	1	1	3	3	0	3	2	1	0	0	0	1	1	0	0	0	1	3	3	2	0	2	1	0	3	2	2	0	0	0	1	0	2	3	1	0	0	1	0	2	1	1	1	2	4	2	0	0	1	0	1	1	2	3	1	2	0	0	0	2
Lactobacillus	G	1334	1465	1463	1506	1457	1459	1422	1519	1450	1545	1472	1463	1394	1449	1516	1397	1436	1482	1460	1465	1446	1427	1428	1476	1485	1488	1465	1447	1483	1567	1398	1432	1439	1472	1463	1557	1482	1435	1419	1477	1375	1493	1437	1461	1433	1409	1415	1469	1412	1483	1440	1514	1455	1440	1508	1458	1440	1470	1406	1518	1456	1444	1524	1452	1470	1468	1504	1489	1429	1377	1494	1459	1502	1488	1512	1421	1534	1484	1432	1470	1433	1410	1490	1385	1408	1492	1423	1556	1397	1489	1492	1443	1431	1498	1449	1491	1467	1489	1463	1516
Enterococcus	G	904	921	955	895	931	947	943	911	915	948	875	945	904	932	926	914	942	831	905	975	960	921	930	948	905	928	931	835	898	945	962	937	899	882	873	932	905	931	960	894	908	882	852	899	842	918	910	957	930	908	917	851	883	938	936	931	913	904	873	928	906	941	920	889	880	935	895	878	940	940	949	911	930	886	881	912	945	929	945	911	918	909	934	948	918	926	893	891	910	921	942	905	934	917	878	949	894	954	988	914
Granulicatella	G	0	3	1	4	1	4	5	4	4	0	4	3	2	4	2	2	3	2	4	5	2	0	3	6	3	1	1	5	5	4	8	5	3	4	6	3	0	5	0	3	1	4	5	2	5	5	1	4	4	6	6	4	4	1	4	4	5	1	4	6	3	5	5	5	5	4	2	2	2	1	2	4	7	2	1	4	2	2	3	2	3	3	3	6	5	6	4	4	3	1	2	3	7	3	1	0	3	1	3	5
Streptococcus	G	23	21	27	31	24	35	26	27	27	30	20	24	18	28	22	29	25	33	34	18	28	27	22	23	25	24	28	29	38	22	18	21	30	30	25	27	20	29	34	26	26	34	33	23	26	23	22	23	23	28	25	27	27	31	33	17	30	34	23	24	29	29	27	29	29	19	32	23	25	24	26	31	29	30	37	16	18	26	31	22	20	23	28	16	18	31	26	18	35	22	21	28	25	26	36	32	38	29	24	30
Armatimonas	G	0	1	2	0	0	0	1	1	0	1	1	2	0	0	1	2	0	1	0	0	0	1	0	2	0	0	0	1	1	1	0	3	2	0	1	2	0	0	0	2	1	2	0	1	1	0	2	2	1	0	4	1	0	0	1	1	1	0	1	4	2	2	1	2	2	1	0	1	2	0	1	0	1	1	0	0	0	0	0	0	1	0	0	1	2	2	0	0	0	0	0	1	0	2	0	1	0	0	0	0
Cronobacter	G	1	5	1	4	2	3	7	2	1	3	5	5	3	6	1	1	3	4	4	6	5	5	4	3	4	3	4	8	6	3	5	3	4	8	3	1	3	0	7	5	0	8	4	5	3	3	2	3	4	4	0	4	3	1	4	5	3	3	5	5	5	7	8	5	6	2	4	6	3	5	5	5	3	4	4	2	4	7	3	5	5	6	2	4	3	2	0	5	4	2	3	3	6	3	2	7	6	5	5	4
Providencia	G	6	6	11	4	14	11	13	8	11	6	12	8	8	8	9	6	8	8	14	18	7	6	5	3	9	5	10	7	14	7	7	18	5	13	7	7	10	6	6	6	8	9	5	4	5	8	6	11	7	6	10	11	11	8	8	6	10	9	8	12	13	7	5	14	6	3	9	6	5	12	10	6	8	5	6	1	9	11	9	2	9	6	15	11	10	5	7	9	7	8	11	6	10	10	12	7	9	7	9	10
Jeotgalibaca	G	1	1	5	0	0	3	4	2	2	3	2	1	1	3	2	2	4	3	1	0	1	0	3	2	2	1	0	2	2	3	0	2	1	1	3	2	2	3	2	1	0	4	4	1	1	1	1	0	1	2	0	0	2	2	1	3	2	3	3	3	4	1	2	1	1	3	1	1	2	4	2	2	2	2	3	3	0	1	3	3	0	2	4	1	2	2	0	4	0	3	1	2	4	1	2	2	1	1	3	1
Aerococcus	G	2	1	0	1	2	1	1	0	2	1	1	0	3	0	1	1	3	1	0	0	0	0	1	1	2	1	3	1	0	2	0	2	1	2	1	0	2	2	1	0	3	0	0	1	1	1	0	1	1	2	2	0	1	1	1	0	2	3	1	0	1	0	0	7	1	1	1	2	2	0	0	1	1	1	3	0	5	1	0	1	0	1	0	0	0	1	1	1	1	3	0	0	0	2	1	2	1	1	1	2
Pectobacterium	G	4	8	3	9	5	6	7	3	4	6	5	8	3	7	5	9	5	3	4	5	5	4	6	13	7	3	5	1	5	6	1	9	3	6	7	7	7	5	6	5	7	5	7	5	5	9	4	2	5	2	4	8	9	3	7	7	5	9	6	6	2	5	4	9	3	8	7	6	4	8	4	12	11	5	6	3	6	6	5	8	9	6	10	7	1	4	4	8	5	10	5	5	8	4	13	4	4	4	4	4
Proteus	G	3	4	1	2	6	2	1	2	1	3	2	2	1	3	2	2	3	1	1	1	3	4	1	2	0	3	3	2	2	0	2	2	1	0	0	1	1	2	1	4	1	1	0	1	1	3	3	4	5	2	6	2	2	3	1	2	2	0	2	1	3	2	0	4	1	2	2	1	2	0	1	1	1	3	2	2	1	3	2	4	4	2	2	2	2	1	5	3	2	2	2	1	2	1	2	2	0	2	1	1
Dickeya	G	9	6	4	5	8	5	6	3	2	6	3	8	7	9	5	3	8	7	3	7	2	4	6	6	4	3	2	7	8	5	9	7	9	4	6	5	4	3	4	7	10	6	6	7	4	4	6	5	4	7	3	5	1	2	5	4	6	2	6	5	5	7	6	7	13	6	6	2	7	6	9	5	7	4	4	5	4	6	3	11	6	5	4	6	6	2	6	2	3	3	2	9	5	4	5	7	4	8	5	6
Kluyvera	G	16	17	17	12	10	15	12	14	11	11	7	13	12	10	17	14	13	7	14	16	13	16	13	11	18	19	17	14	15	18	17	11	14	13	14	8	18	12	15	14	15	10	24	14	24	4	12	16	13	16	19	21	16	15	16	10	10	12	12	13	19	14	11	13	6	20	12	4	13	18	14	12	9	15	10	11	6	18	22	18	13	16	18	11	12	15	18	16	20	13	19	14	14	17	14	18	11	15	12	17
Exiguobacterium	G	3	1	0	1	2	1	1	1	0	1	2	0	1	0	1	0	0	1	2	1	1	0	0	0	0	0	2	0	0	0	1	0	1	1	0	1	0	1	1	1	0	0	0	1	1	3	2	2	1	1	0	1	0	1	0	1	0	3	0	1	0	0	0	1	0	0	1	1	1	1	0	2	0	4	2	1	1	0	0	0	2	0	1	1	3	0	0	1	1	0	1	0	0	1	0	1	0	1	4	0
Yokenella	G	5	8	9	5	3	12	8	16	11	9	9	11	5	11	11	10	11	8	9	8	8	4	13	13	9	7	7	8	13	6	10	11	9	7	6	4	15	4	6	10	12	6	9	6	14	6	7	7	12	7	9	9	9	11	10	11	13	3	8	7	9	11	8	12	10	8	9	7	5	9	14	12	13	5	11	6	13	8	11	11	8	5	7	8	8	11	6	6	9	7	9	13	6	10	7	10	11	6	5	14
Edwardsiella	G	6	4	4	3	5	3	7	4	3	7	2	3	6	5	8	4	4	2	2	8	3	7	4	4	6	2	9	4	4	3	3	4	9	4	4	4	3	4	8	3	3	8	3	3	7	3	3	3	8	2	3	2	4	7	4	6	4	2	5	5	4	10	7	3	2	6	2	3	3	1	6	7	8	5	6	6	5	6	5	1	2	7	3	4	5	3	3	9	2	6	6	1	5	4	5	4	3	2	14	3
Siccibacter	G	3	2	5	0	7	9	7	4	3	6	7	8	5	4	2	3	4	6	4	3	3	4	6	3	3	5	5	1	6	6	8	1	4	2	1	6	4	6	5	6	1	1	1	4	6	5	3	1	2	4	4	3	5	5	2	3	7	4	4	3	5	2	6	8	3	2	1	7	2	4	2	1	4	4	2	6	8	4	7	4	1	2	4	6	2	4	7	4	8	6	7	4	3	5	10	6	3	5	4	8
Rosenbergiella	G	3	7	2	2	5	4	4	6	4	9	3	1	4	1	1	1	3	2	6	3	2	10	1	6	3	4	9	1	3	4	1	6	5	5	7	5	5	3	4	3	6	3	2	5	5	3	7	2	2	4	3	2	5	0	5	2	4	5	1	5	7	8	5	7	1	3	4	6	4	1	5	0	7	4	3	6	5	0	3	4	3	6	4	6	3	6	3	2	3	2	5	5	4	2	8	2	4	4	5	5
